date,ice_slide_wait,ice_bar_wait,ice_sculpture_walk_wait,polar_pavilion_wait,snow_world_wait,ferris_wheel_wait,dragon_boat_wait,avg_wait
2024-01-01,87.4,18.9,3.7,30.2,21.7,66.9,42.1,38.7
2024-01-02,105.2,25.4,10.8,35.8,45.9,75.3,40.1,48.4
2024-01-03,92.6,20.0,4.6,50.5,28.7,57.0,49.2,43.2
2024-01-04,47.3,17.4,7.5,37.9,19.3,30.2,23.5,26.2
2024-01-05,40.9,16.6,4.8,30.2,16.1,33.9,11.4,22.0
2024-01-06,80.8,31.5,4.7,49.2,26.8,64.4,38.0,42.2
2024-01-07,85.3,24.6,9.7,47.3,25.9,54.6,33.0,40.1
2024-01-08,62.9,16.9,4.7,35.7,24.9,52.6,25.4,31.9
2024-01-09,30.8,17.3,3.4,37.9,14.4,31.6,26.0,23.1
2024-01-10,87.1,14.4,5.9,40.5,35.0,51.6,37.5,38.9
2024-01-11,77.9,14.0,6.5,43.7,19.8,37.6,24.0,31.9
2024-01-12,91.3,23.5,6.6,29.3,30.6,45.2,38.1,37.8
2024-01-13,62.6,28.6,7.3,33.9,23.8,42.5,39.0,34.0
2024-01-14,95.6,31.0,9.4,42.3,47.7,56.8,48.4,47.3
2024-01-15,59.7,21.3,5.5,38.5,25.3,51.5,23.2,32.1
2024-01-16,38.0,16.1,8.1,36.9,28.4,34.5,32.5,27.8
2024-01-17,54.5,17.9,6.2,45.7,33.8,57.6,20.7,33.8
2024-01-18,71.4,21.2,4.1,40.4,27.2,55.4,34.2,36.3
2024-01-19,54.4,24.3,2.6,34.9,14.3,33.5,33.4,28.2
2024-01-20,58.5,17.3,12.8,31.9,49.2,56.4,34.9,37.3
2024-01-21,97.3,35.5,5.7,41.8,41.9,62.8,50.9,48.0
2024-01-22,66.8,26.8,5.8,35.1,26.0,39.2,33.6,33.3
2024-01-23,73.7,26.0,8.1,43.3,31.8,35.8,28.1,35.3
2024-01-24,89.5,31.3,3.6,35.7,30.2,39.6,27.5,36.8
2024-01-25,66.0,25.7,2.7,31.8,26.8,48.5,29.9,33.1
2024-01-26,115.9,25.3,10.0,37.9,33.2,38.5,46.2,43.9
2024-01-27,74.4,26.1,6.6,49.5,34.2,39.6,27.5,36.8
2024-01-28,77.4,28.4,10.7,47.2,39.6,32.0,54.9,41.5
2024-01-29,70.8,19.0,5.5,25.0,19.8,62.4,21.7,32.0
2024-01-30,48.9,16.8,4.3,36.9,33.8,38.1,20.1,28.4
2024-01-31,81.4,23.4,8.9,37.8,28.8,50.2,36.3,38.1
2024-02-01,64.6,19.3,3.6,34.6,34.3,59.7,29.6,35.1
2024-02-02,89.1,20.9,4.2,22.2,35.6,41.9,22.0,33.7
2024-02-03,40.1,26.0,9.5,42.8,27.6,54.7,56.7,36.8
2024-02-04,72.4,29.2,13.6,70.2,47.2,64.0,52.5,49.9
2024-02-05,58.4,16.6,4.6,45.4,27.0,50.0,32.8,33.5
2024-02-06,80.1,21.1,5.9,32.3,18.9,35.7,30.7,32.1
2024-02-07,33.2,11.3,6.6,32.9,20.0,59.8,15.3,25.6
2024-02-08,154.8,37.8,14.0,71.9,26.9,87.6,63.2,65.2
2024-02-09,52.7,54.1,11.8,76.5,33.5,93.9,69.5,56.0
2024-02-10,142.9,41.9,9.8,71.5,47.6,105.6,49.6,67.0
2024-02-11,153.4,33.2,11.8,87.2,45.0,107.4,71.7,72.8
2024-02-12,98.6,42.6,10.1,75.9,62.2,68.3,57.5,59.3
2024-02-13,84.4,23.3,9.0,37.3,31.2,79.3,41.0,43.6
2024-02-14,132.5,37.8,15.4,71.6,58.4,85.1,56.8,65.4
2024-02-15,133.5,37.7,10.2,61.1,47.6,59.1,39.8,55.6
2024-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,43.5,14.7,2.3,15.0,16.8,25.0,17.6,19.3
2024-03-02,57.4,13.8,4.8,28.0,15.0,34.8,28.8,26.1
2024-03-03,35.7,12.6,3.8,20.3,18.5,22.2,24.3,19.6
2024-03-04,36.1,7.5,4.2,18.3,10.4,27.4,16.4,17.2
2024-03-05,16.7,8.2,3.0,7.8,12.5,21.5,9.9,11.4
2024-03-06,32.2,9.4,2.0,20.9,14.8,19.2,13.4,16.0
2024-03-07,33.4,8.4,1.4,17.8,9.2,17.6,18.1,15.1
2024-03-08,31.6,10.2,3.5,20.7,10.2,22.2,15.5,16.3
2024-03-09,46.8,14.7,6.8,17.4,22.2,39.1,23.1,24.3
2024-03-10,41.4,21.9,2.1,23.0,26.0,30.8,32.4,25.4
2024-03-11,17.8,6.5,2.3,17.8,11.0,17.3,18.2,13.0
2024-03-12,45.5,9.2,1.8,8.6,14.2,26.4,15.7,17.3
2024-03-13,37.9,9.6,4.2,30.8,7.0,26.0,13.7,18.5
2024-03-14,21.0,7.5,3.4,20.7,18.6,23.1,8.8,14.7
2024-03-15,29.0,6.3,2.0,19.9,13.1,24.3,13.2,15.4
2024-03-16,48.5,11.3,4.9,24.7,15.6,29.3,18.9,21.9
2024-03-17,60.2,14.3,4.0,22.7,21.2,34.8,18.8,25.1
2024-03-18,28.6,9.7,3.6,30.2,15.3,23.5,10.5,17.3
2024-03-19,45.6,11.8,3.7,23.1,12.9,23.2,21.3,20.2
2024-03-20,33.1,11.4,3.6,20.7,12.5,21.6,17.7,17.2
2024-03-21,34.1,11.5,3.0,18.5,10.3,16.8,16.0,15.7
2024-03-22,26.8,9.7,4.0,23.0,13.7,19.9,14.2,15.9
2024-03-23,51.9,13.2,3.4,31.3,18.1,25.1,22.4,23.6
2024-03-24,53.8,10.1,3.9,22.9,19.6,34.5,17.5,23.2
2024-03-25,20.2,12.7,2.2,19.4,12.7,23.1,21.4,16.0
2024-03-26,52.3,5.5,3.5,16.1,15.2,25.3,18.8,19.5
2024-03-27,34.5,7.8,3.7,18.7,12.3,19.5,18.9,16.5
2024-03-28,47.6,7.4,3.7,17.3,8.7,24.2,12.6,17.4
2024-03-29,18.9,7.8,2.2,14.7,8.5,19.3,12.0,11.9
2024-03-30,46.2,15.1,4.2,22.3,16.0,22.9,15.8,20.4
2024-03-31,47.4,7.1,3.7,20.8,18.8,17.8,18.9,19.2
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
