date,ticket_revenue,hotel_occupancy_rate,hotel_revenue,dining_revenue,retail_revenue,total_revenue
2024-01-01,5407805,0.9102,901618,2249928,1681152,10240503
2024-01-02,7644080,0.7991,948838,3721388,2288949,14603255
2024-01-03,6984296,0.8808,1133123,3097386,1449055,12663860
2024-01-04,4920847,0.7709,924513,2034360,1888907,9768627
2024-01-05,4892766,0.89,807534,1595588,1483127,8779015
2024-01-06,6352402,0.797,935367,2402392,2392193,12082354
2024-01-07,7634106,0.7974,1015179,2520630,1390322,12560237
2024-01-08,5558249,0.8916,898550,1830978,2254356,10542133
2024-01-09,5221440,0.8991,862019,2821445,2218171,11123075
2024-01-10,6322509,0.8167,983598,2926791,1230046,11462944
2024-01-11,6276513,0.8115,867128,2713132,1651862,11508635
2024-01-12,7118931,0.9431,1080943,2525059,1853602,12578535
2024-01-13,8454225,0.9414,1136608,2361977,1774158,13726968
2024-01-14,8561393,0.7588,839961,2350938,1987508,13739800
2024-01-15,5760404,0.8987,1040818,2121971,2240554,11163747
2024-01-16,6714244,0.7839,917417,2541050,2244403,12417114
2024-01-17,7128641,0.9117,1015119,2010583,2469375,12623718
2024-01-18,6201693,0.9373,1104812,2719028,1836787,11862320
2024-01-19,5628232,0.8417,1010468,2513332,1259438,10411470
2024-01-20,7896192,0.911,1015445,3591321,2581015,15083973
2024-01-21,7686282,0.9109,1182536,2351776,1359266,12579860
2024-01-22,5957417,0.8279,1013685,2590145,2207203,11768450
2024-01-23,6102675,0.8748,929670,3031036,1647259,11710640
2024-01-24,6957883,0.8694,1120793,1937033,2081923,12097632
2024-01-25,5909679,0.8314,934672,1904253,1122242,9870846
2024-01-26,8030211,0.8899,1087819,3230563,1265793,13614386
2024-01-27,6947435,0.8302,805155,2396679,2064924,12214193
2024-01-28,6783522,0.8137,761274,2048239,1852980,11446015
2024-01-29,5962746,0.8652,974475,2027905,2218989,11184115
2024-01-30,5390847,0.9147,1117355,1897782,1444845,9850829
2024-01-31,7350962,0.8039,954681,3106155,1351186,12762984
2024-02-01,6939520,0.9122,836157,1825625,1702439,11303741
2024-02-02,5684127,0.8956,946283,2924859,1051354,10606623
2024-02-03,7831258,0.7652,966658,2500583,2663723,13962222
2024-02-04,10125973,0.9163,902382,2849809,2791038,16669202
2024-02-05,5891888,0.9329,1068764,2471756,1189760,10622168
2024-02-06,6561385,0.97,1219662,3101536,1289350,12171933
2024-02-07,4781165,0.7588,715884,1959719,1687728,9144496
2024-02-08,12493029,0.9312,858156,3144599,3745149,20240933
2024-02-09,10204072,0.8055,811878,4216297,2942306,18174553
2024-02-10,12803478,0.8843,884762,3965371,3222320,20875931
2024-02-11,20811109,0.9162,910346,8083955,6001169,35806579
2024-02-12,9709823,0.8685,978089,4297762,1905432,16891106
2024-02-13,9809177,0.7685,991696,4614291,1702405,17117569
2024-02-14,10232535,0.8026,988860,5152445,3319022,19692862
2024-02-15,9199889,0.8673,1096206,4552821,2877696,17726612
2024-02-16,0,0.0,0,0,0,0
2024-02-17,0,0.0,0,0,0,0
2024-02-18,0,0.0,0,0,0,0
2024-02-19,0,0.0,0,0,0,0
2024-02-20,0,0.0,0,0,0,0
2024-02-21,0,0.0,0,0,0,0
2024-02-22,0,0.0,0,0,0,0
2024-02-23,0,0.0,0,0,0,0
2024-02-24,0,0.0,0,0,0,0
2024-02-25,0,0.0,0,0,0,0
2024-02-26,0,0.0,0,0,0,0
2024-02-27,0,0.0,0,0,0,0
2024-02-28,0,0.0,0,0,0,0
2024-02-29,0,0.0,0,0,0,0
2024-03-01,1732886,0.5236,298115,810495,454120,3295616
2024-03-02,2532133,0.5739,452948,677603,932104,4594788
2024-03-03,2589662,0.5811,390090,618828,508790,4107370
2024-03-04,1690232,0.5142,375383,622545,623768,3311928
2024-03-05,1430519,0.5392,417138,732646,609549,3189852
2024-03-06,1895936,0.5565,363474,614528,241750,3115688
2024-03-07,1330154,0.5102,300112,468560,291394,2390220
2024-03-08,1555227,0.5623,316182,785859,325854,2983122
2024-03-09,2929614,0.591,439167,1008406,345766,4722953
2024-03-10,3381106,0.605,490430,1126755,625679,5623970
2024-03-11,1905134,0.5143,369040,403214,595931,3273319
2024-03-12,1648893,0.5219,373825,806680,545362,3374760
2024-03-13,2002639,0.5233,403988,1075230,740179,4222036
2024-03-14,1906874,0.5639,380495,693271,486317,3466957
2024-03-15,1747149,0.5491,388485,537978,352805,3026417
2024-03-16,1931077,0.5634,351780,599742,688497,3571096
2024-03-17,2656486,0.5803,406791,1138235,902165,5103677
2024-03-18,2592601,0.5657,364900,1119154,468717,4545372
2024-03-19,1697354,0.5351,308172,919303,532195,3457024
2024-03-20,1872101,0.5443,380556,412121,520600,3185378
2024-03-21,1785979,0.5215,402620,458247,311960,2958806
2024-03-22,1579602,0.5263,419547,797107,413529,3209785
2024-03-23,2546911,0.5774,362340,644685,915536,4469472
2024-03-24,2614774,0.5949,389404,1016951,473852,4494981
2024-03-25,1698322,0.5372,348907,488261,371684,2907174
2024-03-26,1416442,0.5419,378133,415286,303961,2513822
2024-03-27,1583405,0.5431,318462,782892,261148,2945907
2024-03-28,1778888,0.5645,429691,463677,658102,3330358
2024-03-29,1795859,0.5542,403572,721134,678463,3599028
2024-03-30,2193347,0.5705,393011,553702,338390,3478450
2024-03-31,1993576,0.5669,407490,851983,332798,3585847
2024-04-01,0,0.0,0,0,0,0
2024-04-02,0,0.0,0,0,0,0
2024-04-03,0,0.0,0,0,0,0
2024-04-04,0,0.0,0,0,0,0
2024-04-05,0,0.0,0,0,0,0
2024-04-06,0,0.0,0,0,0,0
2024-04-07,0,0.0,0,0,0,0
2024-04-08,0,0.0,0,0,0,0
2024-04-09,0,0.0,0,0,0,0
2024-04-10,0,0.0,0,0,0,0
2024-04-11,0,0.0,0,0,0,0
2024-04-12,0,0.0,0,0,0,0
2024-04-13,0,0.0,0,0,0,0
2024-04-14,0,0.0,0,0,0,0
2024-04-15,0,0.0,0,0,0,0
2024-04-16,0,0.0,0,0,0,0
2024-04-17,0,0.0,0,0,0,0
2024-04-18,0,0.0,0,0,0,0
2024-04-19,0,0.0,0,0,0,0
2024-04-20,0,0.0,0,0,0,0
2024-04-21,0,0.0,0,0,0,0
2024-04-22,0,0.0,0,0,0,0
2024-04-23,0,0.0,0,0,0,0
2024-04-24,0,0.0,0,0,0,0
2024-04-25,0,0.0,0,0,0,0
2024-04-26,0,0.0,0,0,0,0
2024-04-27,0,0.0,0,0,0,0
2024-04-28,0,0.0,0,0,0,0
2024-04-29,0,0.0,0,0,0,0
2024-04-30,0,0.0,0,0,0,0
2024-05-01,0,0.0,0,0,0,0
2024-05-02,0,0.0,0,0,0,0
2024-05-03,0,0.0,0,0,0,0
2024-05-04,0,0.0,0,0,0,0
2024-05-05,0,0.0,0,0,0,0
2024-05-06,0,0.0,0,0,0,0
2024-05-07,0,0.0,0,0,0,0
2024-05-08,0,0.0,0,0,0,0
2024-05-09,0,0.0,0,0,0,0
2024-05-10,0,0.0,0,0,0,0
2024-05-11,0,0.0,0,0,0,0
2024-05-12,0,0.0,0,0,0,0
2024-05-13,0,0.0,0,0,0,0
2024-05-14,0,0.0,0,0,0,0
2024-05-15,0,0.0,0,0,0,0
2024-05-16,0,0.0,0,0,0,0
2024-05-17,0,0.0,0,0,0,0
2024-05-18,0,0.0,0,0,0,0
2024-05-19,0,0.0,0,0,0,0
2024-05-20,0,0.0,0,0,0,0
2024-05-21,0,0.0,0,0,0,0
2024-05-22,0,0.0,0,0,0,0
2024-05-23,0,0.0,0,0,0,0
2024-05-24,0,0.0,0,0,0,0
2024-05-25,0,0.0,0,0,0,0
2024-05-26,0,0.0,0,0,0,0
2024-05-27,0,0.0,0,0,0,0
2024-05-28,0,0.0,0,0,0,0
2024-05-29,0,0.0,0,0,0,0
2024-05-30,0,0.0,0,0,0,0
2024-05-31,0,0.0,0,0,0,0
2024-06-01,0,0.0,0,0,0,0
2024-06-02,0,0.0,0,0,0,0
2024-06-03,0,0.0,0,0,0,0
2024-06-04,0,0.0,0,0,0,0
2024-06-05,0,0.0,0,0,0,0
2024-06-06,0,0.0,0,0,0,0
2024-06-07,0,0.0,0,0,0,0
2024-06-08,0,0.0,0,0,0,0
2024-06-09,0,0.0,0,0,0,0
2024-06-10,0,0.0,0,0,0,0
2024-06-11,0,0.0,0,0,0,0
2024-06-12,0,0.0,0,0,0,0
2024-06-13,0,0.0,0,0,0,0
2024-06-14,0,0.0,0,0,0,0
2024-06-15,0,0.0,0,0,0,0
2024-06-16,0,0.0,0,0,0,0
2024-06-17,0,0.0,0,0,0,0
2024-06-18,0,0.0,0,0,0,0
2024-06-19,0,0.0,0,0,0,0
2024-06-20,0,0.0,0,0,0,0
2024-06-21,0,0.0,0,0,0,0
2024-06-22,0,0.0,0,0,0,0
2024-06-23,0,0.0,0,0,0,0
2024-06-24,0,0.0,0,0,0,0
2024-06-25,0,0.0,0,0,0,0
2024-06-26,0,0.0,0,0,0,0
2024-06-27,0,0.0,0,0,0,0
2024-06-28,0,0.0,0,0,0,0
2024-06-29,0,0.0,0,0,0,0
2024-06-30,0,0.0,0,0,0,0
2024-07-01,0,0.0,0,0,0,0
2024-07-02,0,0.0,0,0,0,0
2024-07-03,0,0.0,0,0,0,0
2024-07-04,0,0.0,0,0,0,0
2024-07-05,0,0.0,0,0,0,0
2024-07-06,0,0.0,0,0,0,0
2024-07-07,0,0.0,0,0,0,0
2024-07-08,0,0.0,0,0,0,0
2024-07-09,0,0.0,0,0,0,0
2024-07-10,0,0.0,0,0,0,0
2024-07-11,0,0.0,0,0,0,0
2024-07-12,0,0.0,0,0,0,0
2024-07-13,0,0.0,0,0,0,0
2024-07-14,0,0.0,0,0,0,0
2024-07-15,0,0.0,0,0,0,0
2024-07-16,0,0.0,0,0,0,0
2024-07-17,0,0.0,0,0,0,0
2024-07-18,0,0.0,0,0,0,0
2024-07-19,0,0.0,0,0,0,0
2024-07-20,0,0.0,0,0,0,0
2024-07-21,0,0.0,0,0,0,0
2024-07-22,0,0.0,0,0,0,0
2024-07-23,0,0.0,0,0,0,0
2024-07-24,0,0.0,0,0,0,0
2024-07-25,0,0.0,0,0,0,0
2024-07-26,0,0.0,0,0,0,0
2024-07-27,0,0.0,0,0,0,0
2024-07-28,0,0.0,0,0,0,0
2024-07-29,0,0.0,0,0,0,0
2024-07-30,0,0.0,0,0,0,0
2024-07-31,0,0.0,0,0,0,0
2024-08-01,0,0.0,0,0,0,0
2024-08-02,0,0.0,0,0,0,0
2024-08-03,0,0.0,0,0,0,0
2024-08-04,0,0.0,0,0,0,0
2024-08-05,0,0.0,0,0,0,0
2024-08-06,0,0.0,0,0,0,0
2024-08-07,0,0.0,0,0,0,0
2024-08-08,0,0.0,0,0,0,0
2024-08-09,0,0.0,0,0,0,0
2024-08-10,0,0.0,0,0,0,0
2024-08-11,0,0.0,0,0,0,0
2024-08-12,0,0.0,0,0,0,0
2024-08-13,0,0.0,0,0,0,0
2024-08-14,0,0.0,0,0,0,0
2024-08-15,0,0.0,0,0,0,0
2024-08-16,0,0.0,0,0,0,0
2024-08-17,0,0.0,0,0,0,0
2024-08-18,0,0.0,0,0,0,0
