date,visitors,is_weekend,is_holiday,is_peak_season,is_operating_season,temp_high,temp_low,precipitation,wind_speed,pre_sale_tickets,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
2024-01-01,19797,0,1,1,1,-24.0,-33.0,1.62,1.7,6187,116,32,66,0,149,105,0,0,0,235,801,1268,1621,2020,2168,2326,2141,1971,1678,1095,897,624,252,232
2024-01-02,27791,0,1,1,1,-20.8,-36.4,0.13,2.3,9143,0,178,0,71,0,8,20,0,341,530,1285,1948,2365,2917,2962,3156,2807,2656,2137,1539,1373,757,450,291
2024-01-03,22531,0,1,1,1,-24.8,-33.7,0.09,3.7,11184,0,0,0,130,44,0,0,0,49,420,949,1602,1902,2113,2664,2803,2497,2348,1798,1358,986,504,308,56
2024-01-04,18023,0,0,1,1,-20.6,-38.0,0.86,2.7,5985,71,0,0,0,0,120,86,37,191,347,612,1248,1499,1837,2134,2050,1817,1675,1380,1139,889,387,353,151
2024-01-05,15670,0,0,1,1,-24.6,-35.9,0.5,2.8,5543,50,0,117,114,0,0,0,0,0,260,622,898,1265,1654,1721,1784,1706,1674,1178,974,764,400,367,122
2024-01-06,24371,1,0,1,1,-19.6,-30.6,0.93,1.8,7663,67,0,4,0,55,0,72,0,285,219,892,1401,2186,2525,2647,2928,2741,2403,1917,1330,916,866,629,288
2024-01-07,24199,1,0,1,1,-27.8,-38.0,1.56,3.7,7310,151,40,0,0,62,0,0,18,192,415,847,1629,1925,2316,2834,2926,2754,2442,1932,1274,1021,625,378,418
2024-01-08,18878,0,0,1,1,-24.6,-32.2,1.2,3.0,6897,0,0,64,0,0,42,0,127,221,391,686,1035,1661,1788,2215,2313,2092,1749,1414,1187,761,447,378,307
2024-01-09,19069,0,0,1,1,-18.6,-33.0,0.12,3.1,8113,71,58,59,0,0,91,91,108,214,280,738,1287,1612,1904,2208,2337,1981,1808,1355,1129,693,543,381,121
2024-01-10,19640,0,0,1,1,-23.7,-36.2,0.05,2.4,5409,6,84,0,38,0,0,9,12,140,362,927,1271,1600,2040,2168,2330,2011,1800,1702,1273,937,556,287,87
2024-01-11,20013,0,0,1,1,-28.0,-34.0,1.51,1.5,8825,77,17,36,0,0,0,84,0,0,158,667,1444,1803,2035,2218,2457,2239,1936,1613,1192,957,657,260,163
2024-01-12,23919,0,0,1,1,-16.9,-34.8,2.33,1.8,6317,54,0,32,168,28,0,54,0,137,528,915,1735,2193,2280,2591,2735,2452,2241,1987,1273,1009,851,296,360
2024-01-13,27387,1,0,1,1,-25.1,-36.9,1.43,4.1,13707,0,0,105,129,207,0,0,116,64,577,1207,1685,2349,2747,2868,3348,2906,2777,2035,1751,1141,585,699,91
2024-01-14,29007,1,0,1,1,-24.4,-34.0,3.61,5.3,11416,0,80,118,136,135,0,0,0,169,411,1350,1830,2305,2755,3483,3570,3028,2728,2432,1553,1465,973,388,98
2024-01-15,19462,0,0,1,1,-25.4,-31.5,3.53,2.1,7890,17,0,124,0,0,0,0,0,0,170,813,1323,1657,2061,2168,2246,2224,1834,1677,1001,1008,435,504,200
2024-01-16,21319,0,0,1,1,-23.8,-33.6,0.89,4.7,7267,42,27,132,0,0,148,128,0,142,235,722,1328,1704,2090,2232,2644,2429,2128,1662,1174,1031,679,301,341
2024-01-17,22869,0,0,1,1,-19.6,-32.8,0.65,4.4,10232,0,32,0,164,119,118,0,0,30,172,1000,1528,2029,2356,2529,2722,2556,2304,1657,1292,852,813,473,123
2024-01-18,22338,0,0,1,1,-19.4,-31.8,0.53,3.4,7909,96,7,124,18,21,133,0,0,0,422,929,1513,1782,2087,2377,2618,2470,2178,1751,1473,943,669,543,184
2024-01-19,19713,0,0,1,1,-23.0,-32.0,3.6,1.0,6738,158,0,0,43,0,0,0,0,0,189,869,1232,1697,2187,2357,2533,2155,1956,1494,1125,852,510,276,80
2024-01-20,26805,1,0,1,1,-24.5,-38.0,0.55,5.4,8708,54,0,159,179,0,0,130,105,0,275,1009,1724,2313,2606,3045,3310,2731,2557,2220,1765,1203,812,365,243
2024-01-21,26628,1,0,1,1,-23.3,-38.0,0.38,2.8,9563,0,0,166,39,76,123,0,0,149,436,1170,1703,2107,2573,3007,3270,2962,2604,2340,1644,1087,629,385,158
2024-01-22,18484,0,0,1,1,-25.1,-36.0,0.41,3.1,6138,140,0,0,136,106,92,0,0,140,398,746,1206,1485,1902,2005,2149,1984,1825,1383,981,852,485,388,81
2024-01-23,21750,0,0,1,1,-28.0,-26.5,0.06,2.0,5713,164,0,104,0,61,87,32,0,75,264,985,1477,1943,1976,2495,2679,2205,1956,1763,1286,1061,509,519,109
2024-01-24,23087,0,0,1,1,-24.8,-35.8,2.06,3.4,7428,134,0,113,0,0,0,0,88,112,239,1037,1411,1916,2381,2615,2546,2626,2281,1729,1212,1111,713,459,364
